2022-08-24 22:08:516 INFO  ManageDriver :32 - Launching Chrome Browser
2022-08-24 22:08:736 INFO  HomePage :90 - Getting text from : [[ChromeDriver: chrome on WINDOWS (9c6080b200e5da2c0d898c032072c23f)] -> id: onetrust-accept-btn-handler]
2022-08-24 22:08:699 INFO  HomePage :95 - Clicking on Gender : [[ChromeDriver: chrome on WINDOWS (9c6080b200e5da2c0d898c032072c23f)] -> xpath: //label[@for='account_gender_male']]
2022-08-24 22:08:455 INFO  HomePage :100 - Enter First Name : [[ChromeDriver: chrome on WINDOWS (9c6080b200e5da2c0d898c032072c23f)] -> id: first_name]
2022-08-24 22:08:63 INFO  HomePage :105 - Enter Last Name : [[ChromeDriver: chrome on WINDOWS (9c6080b200e5da2c0d898c032072c23f)] -> id: last_name]
2022-08-24 22:08:367 INFO  HomePage :110 - Fill the Day Field : [[ChromeDriver: chrome on WINDOWS (9c6080b200e5da2c0d898c032072c23f)] -> name: day]
2022-08-24 22:08:751 INFO  HomePage :115 - Fill the Month Field : [[ChromeDriver: chrome on WINDOWS (9c6080b200e5da2c0d898c032072c23f)] -> name: month]
2022-08-24 22:08:135 INFO  HomePage :120 - Fill the year field : [[ChromeDriver: chrome on WINDOWS (9c6080b200e5da2c0d898c032072c23f)] -> name: year]
2022-08-24 22:08:820 INFO  HomePage :125 - Fill the phone field : [[ChromeDriver: chrome on WINDOWS (9c6080b200e5da2c0d898c032072c23f)] -> id: phone_number]
2022-08-24 22:08:491 INFO  HomePage :130 - click on right arrow : [[ChromeDriver: chrome on WINDOWS (9c6080b200e5da2c0d898c032072c23f)] -> xpath: //span[@class='bvs-icon is-arrow-right  ']]
2022-08-24 22:08:411 INFO  HomePage :135 - Fill the country field : [[ChromeDriver: chrome on WINDOWS (9c6080b200e5da2c0d898c032072c23f)] -> id: account_country]
2022-08-24 22:08:667 INFO  HomePage :140 - click on Manual address : Proxy element for: DefaultElementLocator 'By.xpath: //span[@class='bvs-button-card cta__btn']'
2022-08-24 22:08:671 INFO  HomePage :145 - Fill 1st line of address : [[ChromeDriver: chrome on WINDOWS (9c6080b200e5da2c0d898c032072c23f)] -> id: address1]
2022-08-24 22:08:340 INFO  HomePage :150 - Fill 2nd line of address : [[ChromeDriver: chrome on WINDOWS (9c6080b200e5da2c0d898c032072c23f)] -> id: address2]
2022-08-24 22:08:955 INFO  HomePage :154 - Fill 3rd line of address : [[ChromeDriver: chrome on WINDOWS (9c6080b200e5da2c0d898c032072c23f)] -> id: address3]
2022-08-24 22:08:511 INFO  HomePage :159 - Fill the post code: [[ChromeDriver: chrome on WINDOWS (9c6080b200e5da2c0d898c032072c23f)] -> id: postcode]
2022-08-24 22:08:139 INFO  HomePage :130 - click on right arrow : Proxy element for: DefaultElementLocator 'By.xpath: //span[@class='bvs-icon is-arrow-right  ']'
2022-08-24 22:08:887 INFO  HomePage :164 - Fill the email field : [[ChromeDriver: chrome on WINDOWS (9c6080b200e5da2c0d898c032072c23f)] -> id: regpath_form_email_input]
2022-08-24 22:08:656 INFO  HomePage :169 - Fill the password field : [[ChromeDriver: chrome on WINDOWS (9c6080b200e5da2c0d898c032072c23f)] -> id: password]
2022-08-24 22:08:335 INFO  HomePage :175 - Agree terms and condition : Proxy element for: DefaultElementLocator 'By.xpath: //label[@class='account-form__checkbox'][@for='terms_privacy_policy']'
2022-08-24 22:08:361 INFO  HomePage :181 - Click on Create account : [[ChromeDriver: chrome on WINDOWS (9c6080b200e5da2c0d898c032072c23f)] -> xpath: //button[@type='submit']]
2022-08-24 22:08:402 INFO  ManageDriver :32 - Launching Chrome Browser
2022-08-24 22:08:696 INFO  HomePage :90 - Getting text from : [[ChromeDriver: chrome on WINDOWS (ce9bf78f3cb678daedf9491d6c23f490)] -> id: onetrust-accept-btn-handler]
2022-08-24 22:08:402 INFO  HomePage :95 - Clicking on Gender : [[ChromeDriver: chrome on WINDOWS (ce9bf78f3cb678daedf9491d6c23f490)] -> xpath: //label[@for='account_gender_male']]
2022-08-24 22:08:192 INFO  HomePage :100 - Enter First Name : [[ChromeDriver: chrome on WINDOWS (ce9bf78f3cb678daedf9491d6c23f490)] -> id: first_name]
2022-08-24 22:08:785 INFO  HomePage :105 - Enter Last Name : [[ChromeDriver: chrome on WINDOWS (ce9bf78f3cb678daedf9491d6c23f490)] -> id: last_name]
2022-08-24 22:08:194 INFO  HomePage :110 - Fill the Day Field : [[ChromeDriver: chrome on WINDOWS (ce9bf78f3cb678daedf9491d6c23f490)] -> name: day]
2022-08-24 22:08:498 INFO  HomePage :115 - Fill the Month Field : [[ChromeDriver: chrome on WINDOWS (ce9bf78f3cb678daedf9491d6c23f490)] -> name: month]
2022-08-24 22:08:16 INFO  HomePage :120 - Fill the year field : [[ChromeDriver: chrome on WINDOWS (ce9bf78f3cb678daedf9491d6c23f490)] -> name: year]
2022-08-24 22:08:284 INFO  HomePage :125 - Fill the phone field : [[ChromeDriver: chrome on WINDOWS (ce9bf78f3cb678daedf9491d6c23f490)] -> id: phone_number]
2022-08-24 22:08:119 INFO  HomePage :130 - click on right arrow : [[ChromeDriver: chrome on WINDOWS (ce9bf78f3cb678daedf9491d6c23f490)] -> xpath: //span[@class='bvs-icon is-arrow-right  ']]
2022-08-24 22:08:428 INFO  HomePage :135 - Fill the country field : [[ChromeDriver: chrome on WINDOWS (ce9bf78f3cb678daedf9491d6c23f490)] -> id: account_country]
2022-08-24 22:08:820 INFO  HomePage :140 - click on Manual address : Proxy element for: DefaultElementLocator 'By.xpath: //span[@class='bvs-button-card cta__btn']'
